,S0776,S0791,S0792,S0793,S0794,S1006,S1007,S1008
13.0 to 12.5,,,,,,,,
12.5 to 12.0,,,,,,,,
12.0 to 11.5,,,,,,,,
11.5 to 11.0,,,,,,,,
11.0 to 10.5,,,,,,,,
10.5 to 10.0,,,,,,,,
10.0 to 9.5,,,,,,,,
9.5 to 9.0,,,,,,,,
9.0 to 8.5,,,,,,,,
8.5 to 8.0,,,,,,,,
8.0 to 7.5,,,,,,,,
7.5 to 7.0,,,,,,,,
7.0 to 6.5,,,,,,,,
6.5 to 6.0,0.66 J,,,,,,,
6.0 to 5.5,0.66 J,0.84 J,,,,,,
5.5 to 5.0,,0.84 J,,,,,,
5.0 to 4.5,,,0.54 J,,11.5 ,,,
4.5 to 4.0,,,0.54 J,0.97 J,11.5 ,3.4 ,41.2 ,21.1 
4.0 to 3.5,,0.55 J,,0.97 J,,3.4 ,41.2 ,21.1 
3.5 to 3.0,,0.55 J,,,9.1 ,,,
3.0 to 2.5,,,,,9.1 ,,,3.2 U
2.5 to 2.0,,,,,,4.6 ,2.4 U,3.2 U
2.0 to 1.5,0.75 J,,,3.2 ,,4.6 ,2.4 U,
1.5 to 1.0,0.75 J,,0.49 U,3.2 ,,,,
1.0 to 0.5,,,0.49 U,,,,,
0.5 to 0.0,,,,,,,,
0.0 to -0.5,7.1 J,,,,,,,
-0.5 to -1.0,7.1 J,,,,,,,
-1.0 to -1.5,,,,,,,,
-1.5 to -2.0,,,,,,,,
-2.0 to -2.5,,,,,,,,
-2.5 to -3.0,,,,,,,,
-3.0 to -3.5,,,,,,,,
-3.5 to -4.0,,,,,,,,
-4.0 to -4.5,,,,,,,,
-4.5 to -5.0,,0.65 J,,,,,,
-5.0 to -5.5,,0.65 J,,,,,,
-5.5 to -6.0,,,,,,,,
-6.0 to -6.5,,,,0.68 J,,,,
-6.5 to -7.0,,,,0.68 J,,,,
-7.0 to -7.5,,,,,,,,
-7.5 to -8.0,,,,,,,,
-8.0 to -8.5,,,,,,,,
-8.5 to -9.0,,,,,,,,
-9.0 to -9.5,,,,,,,,
-9.5 to -10.0,,,0.74 J,,,,,
-10.0 to -10.5,,,0.74 J,,,,,
,,,,,,,,
