,S0776,S0791,S0792,S0793,S0794,S2140,S2144,S2145,S2180,S2205,S2221,S2222,S2223,S2603,S2604,S2605,S2729,S2827,S2828,SB-0040
13.0 to 12.5,,,,,,,,,,,,,,,,,,,,
12.5 to 12.0,,,,,,,,,,,,,,,,,,,,
12.0 to 11.5,,,,,,,,,,,,,,,,,,,,
11.5 to 11.0,,,,,,,,,,,,,,,,,,,,
11.0 to 10.5,,,,,,,,,,,,,,,,,,,,
10.5 to 10.0,,,,,,,,,,,,,,,,,,,,
10.0 to 9.5,,,,,,,,,,,,,,,,,,,,
9.5 to 9.0,,,,,,,,,,,,,,,,,,,,
9.0 to 8.5,,,,,,,,,,,,,,,,,,,,
8.5 to 8.0,,,,,,,,,,,,,,,,,,,,
8.0 to 7.5,,,,,,,,,,,,,,,,,,,,
7.5 to 7.0,,,,,,,,,,,,,,,,,,,0.51 ,
7.0 to 6.5,,,,,,,,,,,,,,,,,,,0.51 ,
6.5 to 6.0,0.376 U,,,,,,,,,,,,,,,,,,,
6.0 to 5.5,0.376 U,0.0774 ,,,,,,,,,,,,,,,,1.3 ,,
5.5 to 5.0,,0.0774 ,,,,,,,,,,,,0.038 U,0.04 U,,,1.3 ,1.2 ,
5.0 to 4.5,,,4.58 U,,4.21 U,,,,,,,,,0.038 U,0.04 U,,,2 ,1.2 ,
4.5 to 4.0,,,4.58 U,0.564 ,4.21 U,,,,,,,,,,,,,2 ,,
4.0 to 3.5,,0.396 U,,0.564 ,,,,,,1.9 J,,,,,,,,,,9.3 U
3.5 to 3.0,,0.396 U,,,1.04 U,,,,,1.9 J,,,,,,,,,,9.3 U
3.0 to 2.5,,,,,1.04 U,,0.041 U,,0.043 U,,,,,,0.041 U,,,,,9.3 U
2.5 to 2.0,,,,,,,0.041 U,,0.043 U,,3 ,,,0.039 U,0.041 U,,0.11 J,,,9.3 U
2.0 to 1.5,0.383 U,,,0.423 U,,,,,,,3 ,4 ,,0.039 U,,,0.11 J,0.011 J,,9.3 U
1.5 to 1.0,0.383 U,,0.428 U,0.423 U,,,,0.23 ,,,,4 ,,,,,0.092 J,0.011 J,,
1.0 to 0.5,,,0.428 U,,,,,0.23 ,,,,,,,,0.038 U,0.092 J,,,
0.5 to 0.0,,,,,,0.089 J,,,,,,,,,,0.038 U,,,,
0.0 to -0.5,3.24 U,,,,,0.089 J,0.11 U,,,,,,,,,,,,,
-0.5 to -1.0,3.24 U,,,,,,0.11 U,,,,,,,,,,,,0.004 U,
-1.0 to -1.5,,,,,,,,,,,,,,,,,,,0.004 U,
-1.5 to -2.0,,,,,,,,,,,,,,,,,0.096 U,,,
-2.0 to -2.5,,,,,,,,,,,0.37 U,,0.11 U,,,,0.096 U,,,
-2.5 to -3.0,,,,,,,,,,,0.37 U,,0.11 U,,,0.039 U,,,,
-3.0 to -3.5,,,,,,,,,,,,,,,,0.039 U,,,,
-3.5 to -4.0,,,,,,,,,,,,0.11 U,,,,,,,,
-4.0 to -4.5,,,,,,,,,,,,0.11 U,,,,,,,,
-4.5 to -5.0,,0.382 U,,,,,,,,,,,,,,,,,,
-5.0 to -5.5,,0.382 U,,,0.37 U,,,,,,,,,,,,,,,
-5.5 to -6.0,,,,,0.37 U,,,,,,,,,,,,,,,
-6.0 to -6.5,,,,0.392 U,,,,,,,,,,,,,,,,
-6.5 to -7.0,,,,0.392 U,,,,,,,,,,,,,,,,
-7.0 to -7.5,,,,,,,,,,,,,,,,,,,,
-7.5 to -8.0,,,,,,,,,,,,,,,,,,,,
-8.0 to -8.5,,,,,,,,,,,,,,,,,,,,
-8.5 to -9.0,,,,,,,,,,,,,,,,,,,,
-9.0 to -9.5,,,,,,,,,,,,,,,,,,,,
-9.5 to -10.0,,,,,,,,,,,,,,,,,,,,
-10.0 to -10.5,,,,,,0.04 U,,,,,,,,,,,,,,
,,,,,,0.04 U,,,,,,,,,,,,,,
